"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2020', 'Quantity')","('Jul 2020', 'CIF (Baht)')","('Jan - Jul 2020', 'Quantity')","('Jan - Jul 2020', 'CIF (Baht)')"
BE,BELGIUM,0,0,7,2851
CN,CHINA,0,0,24300,1325792
FR,FRANCE,34442,1423000,77083,5451703
DE,GERMANY,525,103274,3326,565125
IN,INDIA,0,0,85610,3861455
IT,ITALY,0,0,1125,248530
JP,JAPAN,24960,1372167,304775,17587637
KR,"KOREA,REPUBLIC OF",94320,3647061,1478940,69248892
NL,NETHERLANDS,0,7579,0,16835
RU,RUSSIAN FEDERATION,8250,1285474,16500,2577155
US,UNITED STATES,0,0,2082,813552
SUM,SUM,162497,7838555,1993748,101699527
