"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2021', 'Quantity')","('Jan 2021', 'CIF (Baht)')","('Jan - Jan 2021', 'Quantity')","('Jan - Jan 2021', 'CIF (Baht)')"
BE,BELGIUM,66530,2736664,66530,2736664
BR,BRAZIL,382250,26801737,382250,26801737
CA,CANADA,5080,291804,5080,291804
CN,CHINA,60739,4236809,60739,4236809
FR,FRANCE,55000,2238898,55000,2238898
DE,GERMANY,8150,8420493,8150,8420493
ID,INDONESIA,550,19953,550,19953
IT,ITALY,71695,3493022,71695,3493022
JP,JAPAN,1074382,48741305,1074382,48741305
KR,"KOREA,REPUBLIC OF",1239800,42064911,1239800,42064911
KW,KUWAIT,272250,7961427,272250,7961427
MY,MALAYSIA,437525,13681945,437525,13681945
PT,PORTUGAL,225,11427,225,11427
QA,QATAR,959300,29960756,959300,29960756
SA,SAUDI ARABIA,1280250,39599255,1280250,39599255
SG,SINGAPORE,1663310,59105593,1663310,59105593
TW,"TAIWAN, PROVINCE OF CHINA",148300,6412643,148300,6412643
AE,UNITED ARAB EMIRATES,1064250,32047732,1064250,32047732
US,UNITED STATES,1854886,67298507,1854886,67298507
SUM,SUM,10644472,395124881,10644472,395124881
