"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2012', 'Quantity')","('Oct 2012', 'CIF (Baht)')","('Jan - Oct 2012', 'Quantity')","('Jan - Oct 2012', 'CIF (Baht)')"
CN,CHINA,1000,53128,287492,11600321
HK,HONG KONG,0,0,20956,1034032
IN,INDIA,0,0,106500,5436005
ID,INDONESIA,53525,4428740,512380,35528679
IL,ISRAEL,0,0,360,37150
JP,JAPAN,1000,128554,92950,5639388
KR,"KOREA,REPUBLIC OF",41000,2098881,478200,24293091
KW,KUWAIT,396000,16140962,2128500,85843267
MY,MALAYSIA,610337,26387085,7825837,343082896
QA,QATAR,127500,5174401,2805000,111057774
SA,SAUDI ARABIA,2598750,110309205,18510040,766306225
SG,SINGAPORE,48000,2319242,1212900,56371868
TW,"TAIWAN, PROVINCE OF CHINA",24000,1011180,24000,1011180
TH,THAILAND,61,15986,61,15986
TR,TÜRKIYE,0,0,12,4711
AE,UNITED ARAB EMIRATES,595250,24918538,7636000,324057473
US,UNITED STATES,310056,15003894,2829674,133430750
SUM,SUM,4806479,207989796,44470862,1904750796
