"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2014', 'Quantity')","('Nov 2014', 'CIF (Baht)')","('Jan - Nov 2014', 'Quantity')","('Jan - Nov 2014', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,505623,30197952
AT,AUSTRIA,0,0,1008,1082704
BE,BELGIUM,80000,16838176,205298,42952576
BG,BULGARIA,0,0,400,61280
CA,CANADA,504,120163,38978,6460035
CN,CHINA,118375,6149842,1890413,112444213
CZ,CZECH REPUBLIC,0,0,17,10782
EC,ECUADOR,0,0,2,2012
FR,FRANCE,0,0,255519,23141180
DE,GERMANY,150,94250,101777,23125769
HK,HONG KONG,0,0,64,44834
IN,INDIA,27000,784994,136964,5860872
ID,INDONESIA,50,9030,68101,7071497
IE,IRELAND,0,0,200,78474
IL,ISRAEL,3600,601270,13400,1617671
IT,ITALY,1542,1645906,20484,5468015
JP,JAPAN,163017,36961934,1568237,356611478
KR,"KOREA,REPUBLIC OF",220275,15571924,2890523,208736173
MY,MALAYSIA,154840,14123275,1725926,150293753
MX,MEXICO,0,0,20411,1231893
NL,NETHERLANDS,90780,9573549,1434841,161901418
NZ,NEW ZEALAND,100,86505,175,167012
SA,SAUDI ARABIA,0,0,2957000,151075432
SG,SINGAPORE,73577,8898091,891409,106862063
ES,SPAIN,74250,6233187,364175,30522622
CH,SWITZERLAND,0,0,1700,1321494
TW,"TAIWAN, PROVINCE OF CHINA",16150,2002297,1046668,78735016
TH,THAILAND,0,0,35675,2125437
TT,TRINIDAD AND TOBAGO,69595,863228,101145,1253513
TR,TÜRKIYE,0,0,250,108745
AE,UNITED ARAB EMIRATES,0,0,152000,7904652
GB,UNITED KINGDOM,503,100860,34056,6297559
US,UNITED STATES,22058,3370394,605135,77686446
VN,VIETNAM,7500,1735757,47510,10791636
SUM,SUM,1123866,125764632,17115084,1613246208
