"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2012', 'Quantity')","('Jun 2012', 'CIF (Baht)')","('Jan - Jun 2012', 'Quantity')","('Jan - Jun 2012', 'CIF (Baht)')"
BE,BELGIUM,0,0,20000,1895000
CN,CHINA,125,3945,32125,2826060
IT,ITALY,0,0,2750,380386
JP,JAPAN,5,2600,83927,12119267
KR,"KOREA,REPUBLIC OF",28154,2690101,231647,19470521
MY,MALAYSIA,0,0,6000,574421
SG,SINGAPORE,0,0,8,13902
ES,SPAIN,0,0,11493,1023198
US,UNITED STATES,0,0,3000,388509
VN,VIETNAM,0,0,600,63257
SUM,SUM,28284,2696646,391550,38754521
