"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2012', 'Quantity')","('Jan 2012', 'CIF (Baht)')","('Jan - Jan 2012', 'Quantity')","('Jan - Jan 2012', 'CIF (Baht)')"
BE,BELGIUM,11025,1050008,11025,1050008
CN,CHINA,34656,1840590,34656,1840590
DE,GERMANY,21025,1776041,21025,1776041
ID,INDONESIA,5000,215314,5000,215314
JP,JAPAN,83403,8463120,83403,8463120
KR,"KOREA,REPUBLIC OF",552642,32352146,552642,32352146
MY,MALAYSIA,153781,6358707,153781,6358707
CH,SWITZERLAND,10000,1164400,10000,1164400
TW,"TAIWAN, PROVINCE OF CHINA",158000,10320641,158000,10320641
GB,UNITED KINGDOM,2000,374000,2000,374000
US,UNITED STATES,43924,6017311,43924,6017311
VN,VIETNAM,79470,1103228,79470,1103228
SUM,SUM,1154926,71035506,1154926,71035506
