"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2020', 'Quantity')","('Nov 2020', 'CIF (Baht)')","('Jan - Nov 2020', 'Quantity')","('Jan - Nov 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1001,112761
BE,BELGIUM,0,0,170237,8997858
BR,BRAZIL,198000,9470820,7670874,390545537
CA,CANADA,22334,241124,67474,767211
CN,CHINA,27356,1349239,1584654,53511426
FI,FINLAND,0,0,841475,44174550
FR,FRANCE,50,45507,115040,13985998
DE,GERMANY,191780,12762342,3383726,215869041
HK,HONG KONG,0,0,336,30521
HU,HUNGARY,0,0,13050,738665
IN,INDIA,0,0,3262,273228
ID,INDONESIA,200,56501,30950,12088532
IE,IRELAND,0,0,0,4067
IL,ISRAEL,0,0,38000,3057892
IT,ITALY,2641,733029,41375,12586475
JP,JAPAN,274785,18592094,2272732,169271142
KR,"KOREA,REPUBLIC OF",330150,14546658,2712601,116040969
KW,KUWAIT,321750,9038940,4331300,113602612
LU,LUXEMBOURG,11250,1065502,230150,23938889
MY,MALAYSIA,3021180,108152790,51827772,1588027688
MM,MYANMAR,0,0,1,66
NL,NETHERLANDS,110980,5581931,3308137,171972094
NZ,NEW ZEALAND,0,0,0,252
NO,NORWAY,69220,3691169,492930,25116354
PT,PORTUGAL,0,0,100,59370
QA,QATAR,816000,25539058,14458500,415905243
SA,SAUDI ARABIA,3822300,124686885,37457332,1089679685
SG,SINGAPORE,1758950,63702692,23117876,755472691
ES,SPAIN,0,0,56,146932
CH,SWITZERLAND,0,0,1160,330489
TW,"TAIWAN, PROVINCE OF CHINA",1,12183,35538,3119356
TH,THAILAND,16580,883463,17800,916621
TT,TRINIDAD AND TOBAGO,7850,29556,7850,29556
TR,TÜRKIYE,0,0,1375,86070
AE,UNITED ARAB EMIRATES,148500,4496173,2601056,71583541
GB,UNITED KINGDOM,2,7009,87105,7444371
US,UNITED STATES,559648,19651391,8267277,271190705
VN,VIETNAM,1001,132122,87726,7374096
SUM,SUM,11712508,424468178,165277828,5588052554
