"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2018', 'Quantity')","('Jan 2018', 'CIF (Baht)')","('Jan - Jan 2018', 'Quantity')","('Jan - Jan 2018', 'CIF (Baht)')"
AU,AUSTRALIA,1000,193472,1000,193472
BE,BELGIUM,13000,1215226,13000,1215226
CN,CHINA,32100,3147915,32100,3147915
FR,FRANCE,147750,7938901,147750,7938901
DE,GERMANY,45008,2608571,45008,2608571
IN,INDIA,24,4826,24,4826
IT,ITALY,4125,420321,4125,420321
JP,JAPAN,962759,66361006,962759,66361006
KR,"KOREA,REPUBLIC OF",551961,28475480,551961,28475480
MY,MALAYSIA,48000,2119730,48000,2119730
NL,NETHERLANDS,24750,2340720,24750,2340720
SA,SAUDI ARABIA,173250,7024951,173250,7024951
SG,SINGAPORE,4160980,187551797,4160980,187551797
TW,"TAIWAN, PROVINCE OF CHINA",200514,8974825,200514,8974825
AE,UNITED ARAB EMIRATES,321750,13579035,321750,13579035
US,UNITED STATES,31220,3572361,31220,3572361
SUM,SUM,6718191,335529137,6718191,335529137
