"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2013', 'Quantity')","('Oct 2013', 'CIF (Baht)')","('Jan - Oct 2013', 'Quantity')","('Jan - Oct 2013', 'CIF (Baht)')"
AU,AUSTRALIA,48750,2746630,275787,13681748
AT,AUSTRIA,0,0,3,2512
BE,BELGIUM,112350,8477820,1160125,80578723
CA,CANADA,0,0,20,13799
CN,CHINA,861164,57369007,10516196,692909995
CO,COLOMBIA,0,0,86968,1300303
CZ,CZECH REPUBLIC,1641,128712,25016,1722359
FI,FINLAND,23375,1574011,182875,11962414
FR,FRANCE,50500,3888960,769351,45348239
DE,GERMANY,9000,2592007,267326,44702277
HK,HONG KONG,0,0,16864,986804
IN,INDIA,4600,355280,50833,2293372
ID,INDONESIA,15100,2793794,139829,19335813
IL,ISRAEL,34,25825,17534,1721331
IT,ITALY,1050,238976,16860,2692105
JP,JAPAN,1198570,91130512,9698232,781742475
KP,KOREA DPR,0,0,82000,4350948
KR,"KOREA,REPUBLIC OF",2681335,158250874,24434787,1396185700
KW,KUWAIT,0,0,148500,6836895
MY,MALAYSIA,72507,10342514,910347,115326195
MX,MEXICO,0,0,45,14428
NL,NETHERLANDS,70500,5549066,683800,57691123
NZ,NEW ZEALAND,5500,355325,14250,920182
PT,PORTUGAL,0,0,1216,91344
SA,SAUDI ARABIA,3982820,190350260,37791250,1711818220
SG,SINGAPORE,1788784,99585463,16036652,858482841
SK,SLOVAKIA,200,111249,200,111249
ES,SPAIN,11000,1283897,90750,10102158
CH,SWITZERLAND,0,0,101,474851
TW,"TAIWAN, PROVINCE OF CHINA",160550,11979885,1919751,101157551
TH,THAILAND,0,0,162,26609
TR,TÜRKIYE,0,0,6525,752178
AE,UNITED ARAB EMIRATES,272250,13095300,1166380,54087776
GB,UNITED KINGDOM,0,0,2092,332439
US,UNITED STATES,47610,4036839,2824188,152412790
VN,VIETNAM,6403,1278547,25948,5268490
SUM,SUM,11425593,667540753,109362763,6177438236
