"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2017', 'Quantity')","('Mar 2017', 'CIF (Baht)')","('Jan - Mar 2017', 'Quantity')","('Jan - Mar 2017', 'CIF (Baht)')"
BE,BELGIUM,0,0,281,74082
CN,CHINA,31700,2699193,49800,5165934
JP,JAPAN,7025,625438,38725,2901044
KR,"KOREA,REPUBLIC OF",17600,1035669,154600,7671838
MY,MALAYSIA,50,58583,50,58583
NL,NETHERLANDS,0,0,123750,10377778
SA,SAUDI ARABIA,145350,6298872,194850,8584393
SG,SINGAPORE,123750,6182971,123750,6182971
CH,SWITZERLAND,0,0,3,2797
TW,"TAIWAN, PROVINCE OF CHINA",10000,1161121,31000,3641878
US,UNITED STATES,698,407077,699,407115
SUM,SUM,336173,18468924,717508,45068413
