"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'CIF (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'CIF (Baht)')"
BE,BELGIUM,24750,1279068,25031,1353150
CN,CHINA,300,82840,50100,5248774
JP,JAPAN,8570,554401,47295,3455445
KR,"KOREA,REPUBLIC OF",40192,2004815,194792,9676653
MY,MALAYSIA,0,0,50,58583
NL,NETHERLANDS,0,0,123750,10377778
SA,SAUDI ARABIA,0,0,194850,8584393
SG,SINGAPORE,123750,6049647,247500,12232618
CH,SWITZERLAND,0,0,3,2797
TW,"TAIWAN, PROVINCE OF CHINA",6000,906347,37000,4548225
TH,THAILAND,534,169173,534,169173
US,UNITED STATES,0,35,699,407150
SUM,SUM,204096,11046326,921604,56114739
