"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2018', 'Quantity')","('Feb 2018', 'CIF (Baht)')","('Jan - Feb 2018', 'Quantity')","('Jan - Feb 2018', 'CIF (Baht)')"
CA,CANADA,0,0,7,10621
CN,CHINA,0,0,22,26917
DE,GERMANY,7,4428,18,19674
JP,JAPAN,23050,3112255,33275,4375565
NL,NETHERLANDS,0,0,0,5110
SA,SAUDI ARABIA,0,0,99000,3888650
TW,"TAIWAN, PROVINCE OF CHINA",25,647,18025,1343703
GB,UNITED KINGDOM,1,12962,1,12962
US,UNITED STATES,18002,1312568,18005,1346660
SUM,SUM,41085,4442860,168353,11029862
