"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2023', 'Quantity')","('Mar 2023', 'CIF (Baht)')","('Jan - Mar 2023', 'Quantity')","('Jan - Mar 2023', 'CIF (Baht)')"
BE,BELGIUM,26606,1372189,130119,9652694
BR,BRAZIL,0,0,11000,1272575
CN,CHINA,372217,14523776,868483,36612159
DE,GERMANY,0,0,10961,1551891
HK,HONG KONG,243,43279,633,150785
IN,INDIA,0,0,14050,1751188
ID,INDONESIA,0,0,2500,233030
JP,JAPAN,401228,29038518,2202125,160976278
KR,"KOREA,REPUBLIC OF",488000,32781717,2117777,158568393
MY,MALAYSIA,145363,10409445,252555,18174819
NL,NETHERLANDS,0,0,35273,1556765
SA,SAUDI ARABIA,24750,1333477,173250,8139958
ES,SPAIN,0,0,13149,314505
CH,SWITZERLAND,900,230438,900,230438
TW,"TAIWAN, PROVINCE OF CHINA",1572124,106659110,5182134,333155960
US,UNITED STATES,115164,5667036,148684,9457562
VN,VIETNAM,44200,1502435,64325,2217003
SUM,SUM,3190795,203561420,11227918,744016003
