"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2017', 'Quantity')","('Jan 2017', 'CIF (Baht)')","('Jan - Jan 2017', 'Quantity')","('Jan - Jan 2017', 'CIF (Baht)')"
BE,BELGIUM,74250,3831436,74250,3831436
CN,CHINA,221500,16671360,221500,16671360
ID,INDONESIA,9150,962121,9150,962121
IR,IRAN (ISLAMIC REPUBLIC OF),120,30350,120,30350
JP,JAPAN,1230170,66196619,1230170,66196619
KW,KUWAIT,173250,7252042,173250,7252042
MY,MALAYSIA,813900,38581271,813900,38581271
NL,NETHERLANDS,24750,1286614,24750,1286614
QA,QATAR,816000,34175207,816000,34175207
SA,SAUDI ARABIA,2995050,129163374,2995050,129163374
SG,SINGAPORE,248354,12251498,248354,12251498
ES,SPAIN,1000,24578,1000,24578
AE,UNITED ARAB EMIRATES,1163450,49730121,1163450,49730121
US,UNITED STATES,59475,6674502,59475,6674502
SUM,SUM,7830419,366831093,7830419,366831093
