"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2017', 'Quantity')","('Dec 2017', 'CIF (Baht)')","('Jan - Dec 2017', 'Quantity')","('Jan - Dec 2017', 'CIF (Baht)')"
AU,AUSTRALIA,75,7227,55311,3598233
AT,AUSTRIA,205,309576,11670,1420559
BE,BELGIUM,370800,18705826,4223660,220277237
BR,BRAZIL,7000,525907,628875,47857835
CA,CANADA,0,0,30711,2893228
CN,CHINA,22690,566559,561071,28812295
FI,FINLAND,0,0,99000,5675925
FR,FRANCE,0,0,3,25630
DE,GERMANY,275635,17699506,337139,58539221
HK,HONG KONG,0,0,11,2386
IN,INDIA,6000,760239,18000,1828748
ID,INDONESIA,200,32726,138700,5871856
IL,ISRAEL,0,0,165,63622
IT,ITALY,8000,1130773,214502,15643856
JP,JAPAN,1237715,58713335,21582178,1021680594
KR,"KOREA,REPUBLIC OF",352025,15555160,4173972,183161329
KW,KUWAIT,470250,18656285,7152750,283533892
LU,LUXEMBOURG,0,0,7,5328
MY,MALAYSIA,0,0,2546005,105220166
NL,NETHERLANDS,0,0,1140,265672
NZ,NEW ZEALAND,0,0,312,32362
NO,NORWAY,313110,17518777,472960,26433546
PH,PHILIPPINES,0,0,192000,8282200
QA,QATAR,1388160,57237668,23351680,952815878
SA,SAUDI ARABIA,1930500,76848915,28286975,1136279032
SG,SINGAPORE,844180,34863048,22386210,942603884
ES,SPAIN,0,0,241170,13025243
CH,SWITZERLAND,0,0,100640,5376004
TW,"TAIWAN, PROVINCE OF CHINA",100000,4769227,4116550,198554128
TH,THAILAND,0,0,215336,8713918
AE,UNITED ARAB EMIRATES,1193500,51610735,14727100,604923555
GB,UNITED KINGDOM,0,0,888,576576
US,UNITED STATES,535201,28672061,6427724,310812051
VN,VIETNAM,0,0,54726,2315521
SUM,SUM,9055246,404183550,142349141,6197121510
