"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2016', 'Quantity')","('Feb 2016', 'CIF (Baht)')","('Jan - Feb 2016', 'Quantity')","('Jan - Feb 2016', 'CIF (Baht)')"
AT,AUSTRIA,300,99269,375,121270
BE,BELGIUM,155000,11284858,175000,12272492
BR,BRAZIL,0,0,0,3998
CA,CANADA,6500,1659963,8000,2079397
CN,CHINA,215188,12163783,724438,36301655
EG,EGYPT,0,0,388,34830
FR,FRANCE,850,446830,850,446830
DE,GERMANY,21510,2078172,21815,2231865
IN,INDIA,11775,1142477,19675,1860666
ID,INDONESIA,100,34276,100,34276
IT,ITALY,1700,680989,3400,1365532
JP,JAPAN,392739,39408745,772384,76375682
KR,"KOREA,REPUBLIC OF",150895,8234320,279290,15206720
MY,MALAYSIA,80345,5144666,161370,10239842
NL,NETHERLANDS,200,40116,200,40116
QA,QATAR,561000,22588506,1071000,44510502
SA,SAUDI ARABIA,92700,3480347,182250,7494560
SG,SINGAPORE,1738400,97364575,3081504,173534293
ES,SPAIN,0,0,8800,739046
CH,SWITZERLAND,0,1984,0,1984
TW,"TAIWAN, PROVINCE OF CHINA",40545,2828256,475354,22998311
TH,THAILAND,50,11655,171,56400
UA,UKRAINE,0,0,4350,552359
AE,UNITED ARAB EMIRATES,668250,26665936,1089550,44044014
GB,UNITED KINGDOM,500,133703,1500,399996
US,UNITED STATES,664399,50763920,2168132,165458985
VN,VIETNAM,0,0,60,12614
SUM,SUM,4802946,286257346,10249956,618418235
