"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2013', 'Quantity')","('Feb 2013', 'CIF (Baht)')","('Jan - Feb 2013', 'Quantity')","('Jan - Feb 2013', 'CIF (Baht)')"
BE,BELGIUM,24750,1206805,117335,8066060
CA,CANADA,100000,4337426,250000,10830091
CN,CHINA,44550,2234073,312251,14813060
DK,DENMARK,110,761803,675,921616
FI,FINLAND,49500,3257634,99000,6454637
DE,GERMANY,51210,4700060,87210,8733803
ID,INDONESIA,300,23631,2050,965509
IT,ITALY,0,0,60,30820
JP,JAPAN,477321,38557704,744764,63523589
KR,"KOREA,REPUBLIC OF",126500,5819261,436000,22002298
KW,KUWAIT,321750,13378511,940500,39411248
MY,MALAYSIA,3065396,132464100,7315746,319024278
NL,NETHERLANDS,149780,11248142,300240,23684349
NO,NORWAY,49500,3020715,49500,3020715
QA,QATAR,1020000,41904363,1734000,71227752
SA,SAUDI ARABIA,1673550,73338704,4284400,187435440
SG,SINGAPORE,1430575,67331224,3101152,145454312
ES,SPAIN,0,0,217250,17918952
TW,"TAIWAN, PROVINCE OF CHINA",3550,271899,13550,1302198
AE,UNITED ARAB EMIRATES,420450,18233245,494700,21295902
GB,UNITED KINGDOM,0,0,60,37582
US,UNITED STATES,209767,13331283,959490,54887729
VN,VIETNAM,7500,589454,7526,613291
SUM,SUM,9226059,436010037,21467459,1021655231
