"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2013', 'Quantity')","('Oct 2013', 'CIF (Baht)')","('Jan - Oct 2013', 'Quantity')","('Jan - Oct 2013', 'CIF (Baht)')"
BE,BELGIUM,0,0,10000,942780
CN,CHINA,4500,424919,50226,4065770
IT,ITALY,14050,2113124,57612,9205075
JP,JAPAN,4,12916,4,12916
KR,"KOREA,REPUBLIC OF",182508,13256526,862021,63431677
MY,MALAYSIA,16550,2409677,24925,3449108
PH,PHILIPPINES,0,0,3000,551862
ES,SPAIN,0,0,1148,28323
TW,"TAIWAN, PROVINCE OF CHINA",0,0,54,12681
GB,UNITED KINGDOM,210,70010,34815,2955641
US,UNITED STATES,0,0,10650,1128287
VN,VIETNAM,0,0,2403,567895
SUM,SUM,217822,18287172,1056858,86352015
