"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'CIF (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'CIF (Baht)')"
AU,AUSTRALIA,4002,416913,8342,723620
AT,AUSTRIA,4125,325745,4125,325745
BE,BELGIUM,5,42408,74255,4535841
BR,BRAZIL,1435500,68512635,3415500,166719415
CN,CHINA,26806,1757663,51856,3267588
FI,FINLAND,50750,2889852,174500,9885910
DE,GERMANY,344209,22253353,823147,56266878
IN,INDIA,0,0,102,16975
ID,INDONESIA,1250,96736,2500,754130
IT,ITALY,120,15371,121,20560
JP,JAPAN,203635,19954235,540264,49948525
KR,"KOREA,REPUBLIC OF",424250,21917657,1171250,60679270
KW,KUWAIT,519750,19951234,1163250,44623427
LU,LUXEMBOURG,0,0,1175,224376
MY,MALAYSIA,5720865,233310205,13975576,576782685
NL,NETHERLANDS,298210,18345633,875715,53025612
NZ,NEW ZEALAND,1,691,1,691
NO,NORWAY,0,0,35110,2121306
QA,QATAR,1198500,47551436,2244000,91000712
SA,SAUDI ARABIA,1940750,79200040,7562200,306428575
SG,SINGAPORE,2839250,127524012,6988702,317424910
SE,SWEDEN,9625,501647,9625,501647
CH,SWITZERLAND,0,0,49860,3077131
TW,"TAIWAN, PROVINCE OF CHINA",50,12871,52854,1112680
TH,THAILAND,25,1008,72025,3651915
AE,UNITED ARAB EMIRATES,49500,2007945,391220,13911212
GB,UNITED KINGDOM,280,99338,5680,912220
US,UNITED STATES,102512,8975128,327179,24565294
VN,VIETNAM,10400,1037330,12400,1337430
SUM,SUM,15184370,676701086,40032534,1793846280
