"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2022', 'Quantity')","('Apr 2022', 'CIF (Baht)')","('Jan - Apr 2022', 'Quantity')","('Jan - Apr 2022', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,2081,792218
BE,BELGIUM,0,0,172150,14543415
CA,CANADA,2450,908086,111325,8417213
CN,CHINA,1087066,56549659,3747547,188756959
FI,FINLAND,0,0,25,18143
FR,FRANCE,0,0,189,99214
DE,GERMANY,1573,947347,87803,10823203
HK,HONG KONG,49500,1000035,49504,1001046
IN,INDIA,7680,973704,8920,1183494
ID,INDONESIA,0,0,500,46957
IT,ITALY,2000,819380,6000,2453871
JP,JAPAN,255821,31354376,949051,120971596
KR,"KOREA,REPUBLIC OF",298000,21296570,1430825,110682464
MY,MALAYSIA,40000,2827034,161305,11500911
NL,NETHERLANDS,2750,876428,8875,1918337
NZ,NEW ZEALAND,0,0,315,245342
QA,QATAR,51000,2867776,76500,4254337
SA,SAUDI ARABIA,0,0,321750,17223488
SG,SINGAPORE,484476,26394114,2345476,137994007
ES,SPAIN,556,250324,556,250324
CH,SWITZERLAND,0,0,150,246638
TW,"TAIWAN, PROVINCE OF CHINA",3412,363411,22202,3232269
TH,THAILAND,0,0,8800,930301
AE,UNITED ARAB EMIRATES,0,0,266975,12834770
GB,UNITED KINGDOM,0,0,15693,1795807
US,UNITED STATES,268322,34096448,2818058,246993619
VN,VIETNAM,5356,547395,39148,3768857
SUM,SUM,2559962,182072087,12651723,902978800
