"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2020', 'Quantity')","('Apr 2020', 'CIF (Baht)')","('Jan - Apr 2020', 'Quantity')","('Jan - Apr 2020', 'CIF (Baht)')"
CN,CHINA,500,22589,6575,293311
IT,ITALY,450,45005,450,45005
JP,JAPAN,0,0,33,84025
KR,"KOREA,REPUBLIC OF",118800,7155439,611400,36147272
QA,QATAR,0,0,34000,969360
SG,SINGAPORE,13850,3211334,13925,3290390
TW,"TAIWAN, PROVINCE OF CHINA",0,0,27,7946
US,UNITED STATES,29211,3355215,50167,5551698
VN,VIETNAM,0,0,1560,107696
SUM,SUM,162811,13789582,718137,46496703
