"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'CIF (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'CIF (Baht)')"
AU,AUSTRALIA,66175,5492469,66175,5492469
BE,BELGIUM,1875,192594,1875,192594
CA,CANADA,208250,9020596,208250,9020596
CN,CHINA,2050,25566,2050,25566
ID,INDONESIA,407250,18887837,407250,18887837
JP,JAPAN,69247,7341526,69247,7341526
KR,"KOREA,REPUBLIC OF",16000,1555094,16000,1555094
KW,KUWAIT,198000,8553017,198000,8553017
QA,QATAR,382500,16901965,382500,16901965
SA,SAUDI ARABIA,2388300,105776478,2388300,105776478
SG,SINGAPORE,262500,13238945,262500,13238945
AE,UNITED ARAB EMIRATES,668250,32650139,668250,32650139
US,UNITED STATES,412161,22025542,412161,22025542
SUM,SUM,5082558,241661768,5082558,241661768
