"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2014', 'Quantity')","('Mar 2014', 'CIF (Baht)')","('Jan - Mar 2014', 'Quantity')","('Jan - Mar 2014', 'CIF (Baht)')"
AU,AUSTRALIA,37250,2332874,89225,5767208
BE,BELGIUM,79750,6228751,331000,24317665
BR,BRAZIL,0,0,500,75073
CN,CHINA,603032,42573722,1959757,142480181
FI,FINLAND,23375,1739621,70125,5123330
FR,FRANCE,34750,3985167,139750,11264635
DE,GERMANY,17401,6563853,35851,10889648
IN,INDIA,5000,521964,44000,2124465
ID,INDONESIA,14176,1260493,45601,5538235
IT,ITALY,11000,1862219,17800,2991246
JP,JAPAN,1286289,94273946,2671665,214133286
KP,KOREA DPR,0,0,48000,3104611
KR,"KOREA,REPUBLIC OF",2211572,134793599,6164305,388253670
MY,MALAYSIA,87893,12387947,249729,36612580
MX,MEXICO,0,0,60,83519
NL,NETHERLANDS,165750,14506582,433250,38278358
NZ,NEW ZEALAND,52,70062,77,93514
PT,PORTUGAL,0,0,47,31619
SA,SAUDI ARABIA,4439290,225592397,11962170,606846831
SG,SINGAPORE,1190143,72185563,3893972,239239063
ZA,SOUTH AFRICA,297000,15017904,297000,15017904
ES,SPAIN,21,10311,11021,1365432
TW,"TAIWAN, PROVINCE OF CHINA",240600,9822942,599175,27211334
TH,THAILAND,0,0,500,34001
AE,UNITED ARAB EMIRATES,99000,5167450,258500,13184978
GB,UNITED KINGDOM,125,120267,127,122605
US,UNITED STATES,105292,7922329,150543,13777624
VN,VIETNAM,6384,816053,8268,1331397
SUM,SUM,10955145,659756016,29482018,1809294012
