"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2021', 'Quantity')","('Apr 2021', 'CIF (Baht)')","('Jan - Apr 2021', 'Quantity')","('Jan - Apr 2021', 'CIF (Baht)')"
AR,ARGENTINA,0,0,700,70202
AU,AUSTRALIA,0,0,528690,19515216
AT,AUSTRIA,4329,229974,16682,1493150
BE,BELGIUM,0,0,3250,155030
CN,CHINA,1622660,89142152,5138922,274818237
DE,GERMANY,77,18158,37269,3812441
HK,HONG KONG,8,2295,8,2295
IN,INDIA,27400,1751061,642520,19513133
ID,INDONESIA,52540,4497621,132745,10998998
IT,ITALY,5000,320456,10200,728123
JP,JAPAN,548186,35619485,2927322,189223106
KR,"KOREA,REPUBLIC OF",692494,31349695,4346785,183314707
MY,MALAYSIA,40010,5269328,195683,23138535
MX,MEXICO,0,0,250,13393
NL,NETHERLANDS,0,0,99035,7735388
NZ,NEW ZEALAND,3000,205070,3000,205070
OM,OMAN,396100,17287264,1460600,52329644
SA,SAUDI ARABIA,1464840,65401328,4388090,172213342
SG,SINGAPORE,632374,37030445,2668666,132648274
ZA,SOUTH AFRICA,0,0,544500,17554047
ES,SPAIN,0,0,25,10532
TW,"TAIWAN, PROVINCE OF CHINA",105238,6166566,1077521,51894358
AE,UNITED ARAB EMIRATES,703164,30576756,3323764,127456086
GB,UNITED KINGDOM,1245,265811,3250,1271346
US,UNITED STATES,2222,369085,188877,5509400
VN,VIETNAM,1400,215690,34828,1972860
SUM,SUM,6302287,325718240,27773182,1297596913
