"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2016', 'Quantity')","('Sept 2016', 'CIF (Baht)')","('Jan - Sept 2016', 'Quantity')","('Jan - Sept 2016', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,60599,5849988
BE,BELGIUM,74250,3591858,283849,14059908
CN,CHINA,132000,9665571,692000,52265724
FI,FINLAND,0,0,1375,100980
FR,FRANCE,375,93738,375,93738
DE,GERMANY,0,0,20,13837
ID,INDONESIA,104825,8191439,544425,38417440
IL,ISRAEL,0,0,5980,479291
JP,JAPAN,700880,37968304,5526314,300855050
KR,"KOREA,REPUBLIC OF",195800,8926720,466600,21902704
KW,KUWAIT,173250,7114808,1534500,61202555
MY,MALAYSIA,769800,33338990,7628309,328406600
NL,NETHERLANDS,143750,7061594,973000,46936591
PH,PHILIPPINES,0,0,17000,729244
QA,QATAR,51000,2129900,2346100,92685225
SA,SAUDI ARABIA,3192750,131985152,25307024,1035406544
SG,SINGAPORE,222750,10390413,2917934,130111383
ZA,SOUTH AFRICA,0,0,24750,1009009
ES,SPAIN,198000,8944197,423500,19597489
TH,THAILAND,0,0,17622,984871
AE,UNITED ARAB EMIRATES,1511700,61957330,9149475,377476422
GB,UNITED KINGDOM,0,0,5,2851
US,UNITED STATES,295730,17171094,1431236,89090016
SUM,SUM,7766860,348531108,59351992,2617677460
