"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2012', 'Quantity')","('Mar 2012', 'CIF (Baht)')","('Jan - Mar 2012', 'Quantity')","('Jan - Mar 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,0,12000
BR,BRAZIL,300,43702,1304,312210
CN,CHINA,0,3600,720,91828
FR,FRANCE,14400,847981,57920,3415058
DE,GERMANY,300,47132,5600,1186466
JP,JAPAN,1341,780041,24716,5262262
KR,"KOREA,REPUBLIC OF",38570,1895227,199500,10404742
MY,MALAYSIA,0,0,200,70148
TW,"TAIWAN, PROVINCE OF CHINA",7840,678404,7840,678404
SUM,SUM,62751,4296087,297800,21433118
