"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2015', 'Quantity')","('Oct 2015', 'CIF (Baht)')","('Jan - Oct 2015', 'Quantity')","('Jan - Oct 2015', 'CIF (Baht)')"
BE,BELGIUM,0,0,24000,2346699
CN,CHINA,30197,8179349,139280,16355525
FR,FRANCE,0,0,2200,416650
HK,HONG KONG,0,0,2449,220081
IN,INDIA,0,0,500,109911
IT,ITALY,35750,7955666,162225,33824618
JP,JAPAN,0,0,175927,18153584
KR,"KOREA,REPUBLIC OF",57400,4274508,237800,18031273
SG,SINGAPORE,0,0,56000,4028108
SE,SWEDEN,5750,807874,7850,1311226
TW,"TAIWAN, PROVINCE OF CHINA",6000,845700,6100,852600
AE,UNITED ARAB EMIRATES,75400,3959894,126100,6454356
US,UNITED STATES,37071,5680777,472737,39889540
VN,VIETNAM,12000,702498,12200,713945
SUM,SUM,259568,32406266,1425368,142708116
