"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2022', 'Quantity')","('Aug 2022', 'CIF (Baht)')","('Jan - Aug 2022', 'Quantity')","('Jan - Aug 2022', 'CIF (Baht)')"
AT,AUSTRIA,112,118484,2434,3931820
BD,BANGLADESH,0,0,34,7801
BE,BELGIUM,1,820,33651,4138300
BZ,BELIZE,0,0,764,266807
BR,BRAZIL,191,70415,2292,844690
CA,CANADA,0,325,12,137029
CN,CHINA,194222,13304001,1323536,102237126
FR,FRANCE,0,0,147949,11603725
DE,GERMANY,174994,12674222,1812271,134220291
HK,HONG KONG,125,30993,254650,24840298
IN,INDIA,4,397,32,5710
ID,INDONESIA,0,0,22569,2495422
IT,ITALY,760,155870,16340,3505834
JP,JAPAN,289919,58472488,1514412,265035983
KR,"KOREA,REPUBLIC OF",185200,15699630,2831758,208760759
MY,MALAYSIA,142600,13284315,951098,82121781
NL,NETHERLANDS,122000,12342046,524400,52676883
NO,NORWAY,0,0,480,191411
SA,SAUDI ARABIA,48000,2176580,936025,40499550
SG,SINGAPORE,11800,2162570,307006,47718046
ES,SPAIN,0,0,0,991
TW,"TAIWAN, PROVINCE OF CHINA",130,10622,2774,3034407
TH,THAILAND,1,3183,414,63965
AE,UNITED ARAB EMIRATES,297000,15876429,2060190,127742405
GB,UNITED KINGDOM,0,0,52198,7825299
US,UNITED STATES,68092,11905280,753296,134723247
VN,VIETNAM,4000,427206,19804,1958774
SUM,SUM,1539151,158715876,13570389,1260588354
