"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2012', 'Quantity')","('Dec 2012', 'CIF (Baht)')","('Jan - Dec 2012', 'Quantity')","('Jan - Dec 2012', 'CIF (Baht)')"
AT,AUSTRIA,1000,123900,1000,123900
CA,CANADA,0,0,159500,7659093
CN,CHINA,0,0,84,23213
FI,FINLAND,0,0,1375,99858
DE,GERMANY,0,0,237,90221
JP,JAPAN,6800,871108,12425,1617986
KR,"KOREA,REPUBLIC OF",1500,79813,15500,1038423
MY,MALAYSIA,0,0,17,4042
SA,SAUDI ARABIA,74250,3306040,297000,12580169
SG,SINGAPORE,0,0,63000,3666661
TW,"TAIWAN, PROVINCE OF CHINA",1000,80210,1000,80210
US,UNITED STATES,45550,2300900,682700,33274734
SUM,SUM,130100,6761971,1233838,60258510
