"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2017', 'Quantity')","('Dec 2017', 'CIF (Baht)')","('Jan - Dec 2017', 'Quantity')","('Jan - Dec 2017', 'CIF (Baht)')"
CN,CHINA,0,0,54025,4024909
DE,GERMANY,0,0,1000,56223
IN,INDIA,0,0,20100,397385
JP,JAPAN,2000,172642,75293,7314753
KR,"KOREA,REPUBLIC OF",0,0,76000,6025850
NZ,NEW ZEALAND,50,19979,50,19979
SA,SAUDI ARABIA,0,0,247500,9921567
SG,SINGAPORE,0,0,938150,34736018
TW,"TAIWAN, PROVINCE OF CHINA",0,0,8998,874042
AE,UNITED ARAB EMIRATES,0,0,134750,5352106
SUM,SUM,2050,192621,1555866,68722832
