"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2020', 'Quantity')","('Oct 2020', 'CIF (Baht)')","('Jan - Oct 2020', 'Quantity')","('Jan - Oct 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,25,16801
CN,CHINA,44002,3131775,69329,4486183
FR,FRANCE,1000,192042,10000,1886099
DE,GERMANY,0,0,32,6152
HK,HONG KONG,0,0,44,8175
IN,INDIA,0,0,28,5780
IL,ISRAEL,0,0,48000,2983493
JP,JAPAN,28805,4243868,321857,41427223
KR,"KOREA,REPUBLIC OF",154000,10339981,754049,52988142
MY,MALAYSIA,0,0,5000,401882
MX,MEXICO,0,0,545,1160885
OM,OMAN,24750,699475,24750,699475
QA,QATAR,17000,523154,136000,3975427
SG,SINGAPORE,0,0,158,30507
GB,UNITED KINGDOM,0,0,2281,668964
US,UNITED STATES,0,0,687,50172
SUM,SUM,269557,19130295,1372785,110795360
