"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2020', 'Quantity')","('May 2020', 'CIF (Baht)')","('Jan - May 2020', 'Quantity')","('Jan - May 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1265,94301
AT,AUSTRIA,6000,550966,12000,1094873
BE,BELGIUM,30000,3202323,185425,15746849
CA,CANADA,1500,490424,5750,1811551
CN,CHINA,788263,32633475,4986016,196113757
FR,FRANCE,0,0,1275,299864
DE,GERMANY,33,138261,50607,4512114
HK,HONG KONG,9,2868,46,15839
IN,INDIA,0,0,4006,719764
ID,INDONESIA,0,0,782,56457
IL,ISRAEL,225,8009,225,8009
IT,ITALY,1,1552,2576,876322
JP,JAPAN,281470,33399114,1221974,145470520
KR,"KOREA,REPUBLIC OF",306025,18170143,2397458,133476766
LU,LUXEMBOURG,0,0,5,2778
MY,MALAYSIA,69834,4524227,161634,9819778
NL,NETHERLANDS,2,2015,52002,1704695
SA,SAUDI ARABIA,99000,2796424,173250,4980300
SG,SINGAPORE,675400,23806092,4084285,152659755
ES,SPAIN,0,0,378,100094
SE,SWEDEN,0,0,150000,10920240
TW,"TAIWAN, PROVINCE OF CHINA",3775,425593,57285,4041231
TH,THAILAND,20800,1410407,155050,10116270
AE,UNITED ARAB EMIRATES,158100,5132562,989800,33102913
GB,UNITED KINGDOM,3000,899768,50760,2390289
US,UNITED STATES,1988866,80438558,8907992,398085590
VN,VIETNAM,17000,894818,148007,7721791
SUM,SUM,4449303,208927599,23799853,1135942710
