"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2012', 'Quantity')","('May 2012', 'CIF (Baht)')","('Jan - May 2012', 'Quantity')","('Jan - May 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,11000,781871
AT,AUSTRIA,0,0,115500,7950805
BE,BELGIUM,28800,2790765,40800,4119795
CN,CHINA,120000,7472410,240500,15207555
FI,FINLAND,2000,223261,10000,1116737
IN,INDIA,24000,1507013,24000,1507013
JP,JAPAN,243000,20496611,808000,67401175
KR,"KOREA,REPUBLIC OF",394000,26021102,1493000,94862917
MY,MALAYSIA,70000,4689297,355000,22690856
PH,PHILIPPINES,0,0,500,82513
SA,SAUDI ARABIA,0,0,24750,1055526
SG,SINGAPORE,0,0,2900,241978
SE,SWEDEN,282000,16930639,418250,40731831
TW,"TAIWAN, PROVINCE OF CHINA",0,0,11000,934846
AE,UNITED ARAB EMIRATES,122200,6252242,724450,34548583
US,UNITED STATES,69338,5597548,668560,52053003
VN,VIETNAM,55000,3494502,277000,16946208
SUM,SUM,1410338,95475390,5225210,362233212
