"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2017', 'Quantity')","('Nov 2017', 'CIF (Baht)')","('Jan - Nov 2017', 'Quantity')","('Jan - Nov 2017', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,24000,2287008
BE,BELGIUM,0,0,48000,4716689
CN,CHINA,66000,3270011,581300,31565046
FI,FINLAND,0,0,24750,1580163
HK,HONG KONG,0,0,424010,35863414
IN,INDIA,44000,2194638,44000,2194638
IT,ITALY,0,0,1435,373889
JP,JAPAN,0,0,9006,931535
KR,"KOREA,REPUBLIC OF",272028,17536913,1555494,99811642
MY,MALAYSIA,20000,1181553,56700,3644830
NZ,NEW ZEALAND,0,0,631,379177
SA,SAUDI ARABIA,0,0,550,27825
SG,SINGAPORE,0,0,559222,36866849
ES,SPAIN,0,0,3500,934107
SE,SWEDEN,102625,7051937,214625,15951165
AE,UNITED ARAB EMIRATES,22750,1096903,1423848,69393944
GB,UNITED KINGDOM,0,0,17250,1888151
US,UNITED STATES,190504,10636738,1550969,87892616
VN,VIETNAM,0,0,214189,12462789
SUM,SUM,717907,42968693,6753479,408765477
