"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2014', 'Quantity')","('Oct 2014', 'CIF (Baht)')","('Jan - Oct 2014', 'Quantity')","('Jan - Oct 2014', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,150,49408
AT,AUSTRIA,0,0,371250,19075694
BE,BELGIUM,24800,1524283,409425,24219358
BR,BRAZIL,0,0,200,58427
CA,CANADA,0,0,68750,4013248
CN,CHINA,850,50192,282150,21746945
DE,GERMANY,0,0,2750,305561
ID,INDONESIA,35020,2905810,250990,22757632
IL,ISRAEL,0,0,8500,814417
JP,JAPAN,735842,49827354,4863007,324906603
KR,"KOREA,REPUBLIC OF",0,0,22400,1373811
KW,KUWAIT,247500,12783672,1237500,62592955
MY,MALAYSIA,936250,50959648,10511825,572779611
MX,MEXICO,0,0,200,305765
NL,NETHERLANDS,49500,2983222,279000,16789166
QA,QATAR,0,0,1504500,75685850
SA,SAUDI ARABIA,2400750,125725757,22645121,1162733204
SG,SINGAPORE,156250,8523418,2257000,122907011
ES,SPAIN,24750,1500358,24750,1500358
AE,UNITED ARAB EMIRATES,222750,11886008,3438425,182852221
GB,UNITED KINGDOM,0,0,0,1967
US,UNITED STATES,223710,16143400,1427358,105494294
SUM,SUM,5057972,284813122,49605251,2722963506
