"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2016', 'Quantity')","('Jul 2016', 'CIF (Baht)')","('Jan - Jul 2016', 'Quantity')","('Jan - Jul 2016', 'CIF (Baht)')"
BE,BELGIUM,48000,4746717,72000,7315325
CN,CHINA,2500,95436,2500,95436
JP,JAPAN,0,0,4487,667958
KR,"KOREA,REPUBLIC OF",26100,2123759,42371,4154351
QA,QATAR,0,0,330000,13702574
SG,SINGAPORE,849850,36117401,5987925,263423326
SE,SWEDEN,0,0,56000,5511362
AE,UNITED ARAB EMIRATES,0,0,605800,27937601
US,UNITED STATES,61687,4199107,247835,15585222
VN,VIETNAM,53,12243,53,12243
SUM,SUM,988190,47294663,7348971,338405398
