"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2016', 'Quantity')","('Aug 2016', 'CIF (Baht)')","('Jan - Aug 2016', 'Quantity')","('Jan - Aug 2016', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,5341,772831
AT,AUSTRIA,0,0,220,156625
BE,BELGIUM,248500,12227761,1632399,81722102
BZ,BELIZE,0,0,60,39660
BR,BRAZIL,0,0,3500,893625
CN,CHINA,1424316,70612374,9602484,495086936
CZ,CZECH REPUBLIC,0,0,30,47985
FI,FINLAND,0,0,147366,9241348
FR,FRANCE,6000,606722,177165,9160520
DE,GERMANY,0,0,74035,20225050
HK,HONG KONG,233,122455,446,259250
IN,INDIA,596510,21237186,3796859,133140815
ID,INDONESIA,5100,411339,209096,23484565
IL,ISRAEL,24095,1688701,114095,8354684
IT,ITALY,3596,419173,87758,8480310
JP,JAPAN,1288675,89399892,11240491,745518821
KR,"KOREA,REPUBLIC OF",2571525,122989228,15482521,730706653
KW,KUWAIT,0,0,50,17832
MY,MALAYSIA,110650,14346435,912817,111747001
NL,NETHERLANDS,49500,4574177,405628,36792902
NZ,NEW ZEALAND,0,0,240,317592
PH,PHILIPPINES,0,0,104,23921
QA,QATAR,0,0,16500,695900
SA,SAUDI ARABIA,6145721,224819256,40140387,1401049218
SG,SINGAPORE,1727824,86588782,13349979,680589568
ZA,SOUTH AFRICA,148500,5485878,742500,27075961
ES,SPAIN,11000,1000961,11100,1008120
SE,SWEDEN,0,0,25000,956625
TW,"TAIWAN, PROVINCE OF CHINA",83450,3651738,439104,20907400
TH,THAILAND,48900,2210841,76475,3498707
TR,TÜRKIYE,0,0,1395,186822
UA,UKRAINE,0,0,8250,341359
AE,UNITED ARAB EMIRATES,247500,9574769,2065235,78184181
GB,UNITED KINGDOM,0,0,2803,207692
US,UNITED STATES,60364,4378159,546596,45360675
VN,VIETNAM,112234,4649833,227087,9848034
SUM,SUM,14914193,680995660,101545116,4686101290
