"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2016', 'Quantity')","('Feb 2016', 'CIF (Baht)')","('Jan - Feb 2016', 'Quantity')","('Jan - Feb 2016', 'CIF (Baht)')"
BE,BELGIUM,83975,5026558,127985,7390070
CA,CANADA,0,0,17000,1359948
CN,CHINA,113840,6722406,137390,8502584
DE,GERMANY,20,12897,20,12897
IT,ITALY,0,0,23550,3158434
JP,JAPAN,203194,13047664,313412,20819556
KR,"KOREA,REPUBLIC OF",16500,948569,244700,13320822
MY,MALAYSIA,130638,5890982,247758,10732242
MX,MEXICO,0,0,8761,1716912
SA,SAUDI ARABIA,198000,8784996,321750,14756197
SG,SINGAPORE,800,129987,800,129987
CH,SWITZERLAND,0,0,20000,2567320
TW,"TAIWAN, PROVINCE OF CHINA",31700,1660867,81450,6560160
GB,UNITED KINGDOM,400,249596,400,249596
US,UNITED STATES,134025,8086952,161525,10539464
VN,VIETNAM,58110,881554,88760,1417549
SUM,SUM,971202,51443028,1795261,103233738
