"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2021', 'Quantity')","('Dec 2021', 'CIF (Baht)')","('Jan - Dec 2021', 'Quantity')","('Jan - Dec 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,5000,403058
AT,AUSTRIA,0,0,2750,309830
BD,BANGLADESH,0,0,50,1524
BE,BELGIUM,11000,1332186,846972,51849100
BR,BRAZIL,0,0,2200,361894
CA,CANADA,0,0,46100,3414914
CL,CHILE,0,0,32500,4936395
CN,CHINA,140256,5165599,1475250,55332833
FR,FRANCE,0,0,49500,2763935
DE,GERMANY,10,1497,72646,4583718
HK,HONG KONG,0,0,71,24228
IN,INDIA,1200,5301199,6925,12487784
IT,ITALY,0,0,122061,14466448
JP,JAPAN,533995,65860932,3739186,304603772
KR,"KOREA,REPUBLIC OF",655300,74525902,13163536,1037779866
MY,MALAYSIA,90160,3988288,782896,36436721
PT,PORTUGAL,0,0,38880,4434993
QA,QATAR,0,0,34000,1466403
SA,SAUDI ARABIA,35750,3870445,541750,43784557
SG,SINGAPORE,0,0,181050,10715188
ES,SPAIN,0,0,79447,2652331
SE,SWEDEN,0,0,43275,2017698
TW,"TAIWAN, PROVINCE OF CHINA",640427,71730809,9593168,807939823
GB,UNITED KINGDOM,0,0,30230,3694311
US,UNITED STATES,14195,1462172,661897,48706196
VN,VIETNAM,0,0,118745,3754045
SUM,SUM,2122293,233239029,31670085,2458921565
