"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2019', 'Quantity')","('Jul 2019', 'CIF (Baht)')","('Jan - Jul 2019', 'Quantity')","('Jan - Jul 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,90,130261
AT,AUSTRIA,0,0,10,11099
BE,BELGIUM,2075,268167,64469,4233621
BR,BRAZIL,1930500,92748084,7335650,359013463
CA,CANADA,105720,955537,254035,2270913
CN,CHINA,59915,3241743,890847,43907474
CZ,CZECH REPUBLIC,0,0,86,28620
DK,DENMARK,200,1,500,73119
EG,EGYPT,50,15752,50,15752
FI,FINLAND,0,0,370900,20772316
FR,FRANCE,23325,1868724,45325,3452833
DE,GERMANY,402470,26823949,2572541,175897870
HK,HONG KONG,0,0,18226,40887
IN,INDIA,5,2726,1055,94533
ID,INDONESIA,1250,625577,13962,4764335
IL,ISRAEL,0,0,41300,3393336
IT,ITALY,2625,854452,72735,7160571
JP,JAPAN,202299,18513973,1381826,116207729
KR,"KOREA,REPUBLIC OF",397554,18294346,2064883,103934117
KW,KUWAIT,321750,10438744,2549250,84311576
LU,LUXEMBOURG,13800,1764944,73875,9138687
MY,MALAYSIA,5602029,197139947,38061947,1348998395
NL,NETHERLANDS,446110,26493905,2183417,133439041
NO,NORWAY,0,0,280510,15618864
QA,QATAR,1020000,34346575,6732025,225671767
RU,RUSSIAN FEDERATION,0,0,1,1165
SA,SAUDI ARABIA,2993225,98041693,24550950,841992733
SG,SINGAPORE,2500750,94672896,14535999,553936033
CH,SWITZERLAND,1080,169891,2560,431511
TW,"TAIWAN, PROVINCE OF CHINA",10975,911979,31775,3123925
TH,THAILAND,0,0,130000,4841164
AE,UNITED ARAB EMIRATES,347500,11373986,963500,32834090
GB,UNITED KINGDOM,0,0,10001,1272154
US,UNITED STATES,379864,15317812,1917889,87228425
VN,VIETNAM,4025,507290,25698,2278541
SUM,SUM,16769096,655392693,107177887,4190520920
