"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2018', 'Quantity')","('Feb 2018', 'CIF (Baht)')","('Jan - Feb 2018', 'Quantity')","('Jan - Feb 2018', 'CIF (Baht)')"
AT,AUSTRIA,200,130467,6200,746130
BE,BELGIUM,45150,4253720,59900,5874260
CA,CANADA,5250,1456434,8350,2323105
CN,CHINA,733952,29970967,1867485,85979048
DK,DENMARK,0,204,0,204
FR,FRANCE,11000,1288220,11000,1288220
DE,GERMANY,1240,177131,8563,1499791
HK,HONG KONG,150,34350,150,34350
IN,INDIA,1025,211528,25025,1935176
ID,INDONESIA,0,0,1,119
IT,ITALY,0,0,2750,1559921
JP,JAPAN,437511,44213590,736416,76541843
KR,"KOREA,REPUBLIC OF",476400,23725353,717650,35473534
KW,KUWAIT,0,0,200,109520
MY,MALAYSIA,40525,2190128,105825,5482536
NL,NETHERLANDS,125,142821,135,146221
SA,SAUDI ARABIA,74250,3085491,161500,6658609
SG,SINGAPORE,2489694,110714406,4594103,208613317
ES,SPAIN,26400,1853798,26400,1853798
TW,"TAIWAN, PROVINCE OF CHINA",65350,4720097,71860,6230909
AE,UNITED ARAB EMIRATES,569250,23005471,903250,36663034
GB,UNITED KINGDOM,1000,246553,1500,482512
US,UNITED STATES,312137,42893196,520327,74846968
VN,VIETNAM,11173,621796,11173,621796
SUM,SUM,5301782,294935721,9839763,554964921
