"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2017', 'Quantity')","('Jan 2017', 'CIF (Baht)')","('Jan - Jan 2017', 'Quantity')","('Jan - Jan 2017', 'CIF (Baht)')"
BE,BELGIUM,263950,14213107,263950,14213107
BR,BRAZIL,37250,3569245,37250,3569245
CA,CANADA,11000,575558,11000,575558
CN,CHINA,2000,231397,2000,231397
DE,GERMANY,250,905869,250,905869
IL,ISRAEL,40,16674,40,16674
IT,ITALY,29750,2202289,29750,2202289
JP,JAPAN,1936155,84279074,1936155,84279074
KR,"KOREA,REPUBLIC OF",365080,16565005,365080,16565005
KW,KUWAIT,544500,22434887,544500,22434887
MY,MALAYSIA,499800,22273697,499800,22273697
QA,QATAR,1555500,65444511,1555500,65444511
SA,SAUDI ARABIA,1806750,75154395,1806750,75154395
SG,SINGAPORE,2564365,110518529,2564365,110518529
TW,"TAIWAN, PROVINCE OF CHINA",543400,26329487,543400,26329487
TH,THAILAND,7734,292012,7734,292012
AE,UNITED ARAB EMIRATES,1707775,70088018,1707775,70088018
GB,UNITED KINGDOM,120,202489,120,202489
US,UNITED STATES,68310,6611691,68310,6611691
SUM,SUM,11943729,521907934,11943729,521907934
