"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'CIF (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'CIF (Baht)')"
BE,BELGIUM,72000,9906906,72000,9906906
CN,CHINA,69902,6688186,69902,6688186
FI,FINLAND,52250,4179062,52250,4179062
FR,FRANCE,2500,267219,2500,267219
DE,GERMANY,20000,1721133,20000,1721133
KR,"KOREA,REPUBLIC OF",114400,9743636,114400,9743636
TW,"TAIWAN, PROVINCE OF CHINA",1,254,1,254
US,UNITED STATES,370363,32332974,370363,32332974
VN,VIETNAM,11000,740593,11000,740593
SUM,SUM,712416,65579963,712416,65579963
