"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2021', 'Quantity')","('Aug 2021', 'CIF (Baht)')","('Jan - Aug 2021', 'Quantity')","('Jan - Aug 2021', 'CIF (Baht)')"
AT,AUSTRIA,0,0,1421,2151815
BE,BELGIUM,500,104613,42492,4332807
BR,BRAZIL,60,416395,5408,2345738
CA,CANADA,4001,587487,10003,1442793
CN,CHINA,116837,9868629,2045685,122324229
CZ,CZECH REPUBLIC,0,0,2,682
EG,EGYPT,6,1905,7,4433
FR,FRANCE,0,0,178649,10597610
DE,GERMANY,330270,27396758,395149,44501677
HK,HONG KONG,0,0,214252,18082071
IN,INDIA,546,173665,983,283045
ID,INDONESIA,2150,39015,24756,2036594
IT,ITALY,760,106130,3042,439612
JP,JAPAN,131375,25844535,1553108,252615045
KR,"KOREA,REPUBLIC OF",296400,20453028,2903350,171943978
MY,MALAYSIA,49261,4602655,835156,64250378
NL,NETHERLANDS,133042,13061963,715757,64563022
NO,NORWAY,480,209076,900,369981
SA,SAUDI ARABIA,120000,5432527,1152750,49382911
SG,SINGAPORE,78928,10924073,615884,79266045
ZA,SOUTH AFRICA,0,0,0,185
CH,SWITZERLAND,0,0,430,345942
TW,"TAIWAN, PROVINCE OF CHINA",420,58541,11708,3322851
TH,THAILAND,0,0,45025,2777963
AE,UNITED ARAB EMIRATES,198000,9897930,3861000,172039669
GB,UNITED KINGDOM,0,0,45200,5962050
US,UNITED STATES,172458,28779882,1222543,196219447
VN,VIETNAM,36322,4488723,108631,10578429
SUM,SUM,1671816,162447530,15993291,1282181002
