"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2021', 'Quantity')","('May 2021', 'CIF (Baht)')","('Jan - May 2021', 'Quantity')","('Jan - May 2021', 'CIF (Baht)')"
CN,CHINA,10000,484806,118077,6323159
FR,FRANCE,4,2903,4,2903
IN,INDIA,54,14688,54,14688
ID,INDONESIA,0,0,79,36498
IT,ITALY,27,12550,12402,2340083
JP,JAPAN,20,5960,40,11540
KR,"KOREA,REPUBLIC OF",0,0,26000,2897236
TW,"TAIWAN, PROVINCE OF CHINA",6,2806,101,31048
US,UNITED STATES,200,18458,220,34217
VN,VIETNAM,0,0,12,214
SUM,SUM,10311,542171,156989,11691586
