"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2017', 'Quantity')","('Nov 2017', 'CIF (Baht)')","('Jan - Nov 2017', 'Quantity')","('Jan - Nov 2017', 'CIF (Baht)')"
BE,BELGIUM,0,0,3,1907
CA,CANADA,0,0,1020,293254
CN,CHINA,0,0,34150,2621923
FR,FRANCE,577,163582,158989,11785349
DE,GERMANY,375,69086,6508,1121820
IN,INDIA,14400,714476,14760,739554
JP,JAPAN,112944,5221810,901205,49150930
KR,"KOREA,REPUBLIC OF",83021,4151450,2130881,105123370
MY,MALAYSIA,0,0,2400,236394
NL,NETHERLANDS,0,0,11000,1187239
RU,RUSSIAN FEDERATION,0,0,23250,4434735
SG,SINGAPORE,350,81584,351,81971
GB,UNITED KINGDOM,175,72070,175,72070
US,UNITED STATES,0,0,835,366488
SUM,SUM,211842,10474058,3285527,177217004
