"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2019', 'Quantity')","('Oct 2019', 'CIF (Baht)')","('Jan - Oct 2019', 'Quantity')","('Jan - Oct 2019', 'CIF (Baht)')"
AU,AUSTRALIA,1000,66980,1090,197241
AT,AUSTRIA,0,0,14,15994
BE,BELGIUM,29475,1779731,171325,10266717
BR,BRAZIL,902000,43149257,10813025,525885923
CA,CANADA,0,0,254035,2270913
CN,CHINA,42130,2151292,1049092,52506210
CZ,CZECH REPUBLIC,0,0,86,28620
DK,DENMARK,0,0,500,73119
EG,EGYPT,0,0,50,15752
FI,FINLAND,49500,2606302,469800,25951805
FR,FRANCE,22000,1608359,111025,8112452
DE,GERMANY,380508,25721858,3705729,250217292
HK,HONG KONG,0,0,18315,49920
IN,INDIA,49500,1534906,100655,3238491
ID,INDONESIA,50,21110,19012,6413734
IL,ISRAEL,25500,853340,66800,4246676
IT,ITALY,1650,550875,76910,8644173
JP,JAPAN,127187,12547990,1768829,150371557
KR,"KOREA,REPUBLIC OF",268097,11521498,2884564,142429909
KW,KUWAIT,470250,13317000,3811500,121069410
LU,LUXEMBOURG,37050,4206055,175225,20950814
MY,MALAYSIA,2962917,96982039,48437504,1693547245
NL,NETHERLANDS,234900,12482771,3048307,182181072
NO,NORWAY,42070,2199997,374220,20570369
QA,QATAR,1377000,42101313,10149225,332195330
RU,RUSSIAN FEDERATION,0,0,1,1165
SA,SAUDI ARABIA,2499300,72956826,33750300,1122748337
SG,SINGAPORE,2306050,80621357,21156299,789047975
LK,SRI LANKA,0,2862,0,2862
CH,SWITZERLAND,0,0,2600,468905
TW,"TAIWAN, PROVINCE OF CHINA",1584,212275,50159,3996406
TH,THAILAND,1,7,130001,4841171
AE,UNITED ARAB EMIRATES,0,0,1379050,45203864
GB,UNITED KINGDOM,7015,1051361,39516,4178979
US,UNITED STATES,1346986,41018036,4868958,178682537
VN,VIETNAM,4,884,34952,3535990
SUM,SUM,13183724,471266281,148918673,5714158929
