"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2014', 'Quantity')","('Oct 2014', 'CIF (Baht)')","('Jan - Oct 2014', 'Quantity')","('Jan - Oct 2014', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,11000,787885
AT,AUSTRIA,0,0,88678,6273463
BE,BELGIUM,0,0,84000,7460400
CN,CHINA,72400,6207575,519495,38226207
FI,FINLAND,2000,233159,12000,1405309
IN,INDIA,0,0,264000,17607190
IT,ITALY,0,0,12375,3070759
JP,JAPAN,0,0,744650,60965243
KR,"KOREA,REPUBLIC OF",170600,13517794,2602650,185065797
MY,MALAYSIA,20000,1376286,125000,8387534
PT,PORTUGAL,0,0,635,144881
SA,SAUDI ARABIA,0,0,49500,2552631
SG,SINGAPORE,0,0,1,849
SE,SWEDEN,53925,3705688,375975,29272395
TW,"TAIWAN, PROVINCE OF CHINA",0,0,33150,2999163
AE,UNITED ARAB EMIRATES,150800,8153055,728000,39208509
US,UNITED STATES,193882,16647445,1301873,98660592
VN,VIETNAM,33750,2426311,414250,29503426
SUM,SUM,697357,52267313,7367232,531592233
