"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2016', 'Quantity')","('Apr 2016', 'CIF (Baht)')","('Jan - Apr 2016', 'Quantity')","('Jan - Apr 2016', 'CIF (Baht)')"
CN,CHINA,0,0,900,200
FR,FRANCE,3,1460,3,1460
DE,GERMANY,0,0,25,21407
JP,JAPAN,0,0,4425,656646
MY,MALAYSIA,0,0,476100,19117565
SA,SAUDI ARABIA,222750,9034521,495000,20783455
SG,SINGAPORE,0,0,24750,879697
ES,SPAIN,49500,2035688,198000,8123872
TW,"TAIWAN, PROVINCE OF CHINA",498,406104,498,406104
SUM,SUM,272751,11477773,1199701,49990406
