"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'CIF (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'CIF (Baht)')"
CA,CANADA,99000,3965359,99000,3965359
CN,CHINA,76000,5404122,76000,5404122
ID,INDONESIA,24,6971,24,6971
JP,JAPAN,49750,4808038,49750,4808038
KR,"KOREA,REPUBLIC OF",425650,39622404,425650,39622404
NL,NETHERLANDS,110000,5522748,110000,5522748
QA,QATAR,102000,3534139,102000,3534139
SA,SAUDI ARABIA,364950,13464968,364950,13464968
SG,SINGAPORE,1841925,91984264,1841925,91984264
ES,SPAIN,17600,2188548,17600,2188548
AE,UNITED ARAB EMIRATES,1064250,39869410,1064250,39869410
US,UNITED STATES,2708175,110993646,2708175,110993646
SUM,SUM,6859324,321364617,6859324,321364617
