"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2014', 'Quantity')","('Sept 2014', 'CIF (Baht)')","('Jan - Sept 2014', 'Quantity')","('Jan - Sept 2014', 'CIF (Baht)')"
BE,BELGIUM,0,0,19000,2138734
CN,CHINA,15225,749374,15225,751374
HK,HONG KONG,0,0,0,27700
JP,JAPAN,37410,5493352,330862,46400924
KR,"KOREA,REPUBLIC OF",0,2000,372105,16699405
MY,MALAYSIA,0,0,14000,1312892
NL,NETHERLANDS,10,4598,10,4598
QA,QATAR,0,0,66000,3494943
SA,SAUDI ARABIA,0,0,300,33628
SG,SINGAPORE,494,157383,17494,1238571
ES,SPAIN,0,0,83,49136
TW,"TAIWAN, PROVINCE OF CHINA",0,0,105700,7494335
US,UNITED STATES,0,0,8,6842
SUM,SUM,53139,6406707,940787,79653082
