"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2012', 'Quantity')","('Oct 2012', 'CIF (Baht)')","('Jan - Oct 2012', 'Quantity')","('Jan - Oct 2012', 'CIF (Baht)')"
AU,AUSTRALIA,16250,935936,65000,3568240
BE,BELGIUM,1270,209056,115295,16717041
BR,BRAZIL,18387,2848127,21111,3851175
CA,CANADA,8000,773255,24000,2879254
CN,CHINA,66010,5028337,449640,39998789
FR,FRANCE,0,0,14200,1781325
DE,GERMANY,27960,2522307,221533,17361660
HK,HONG KONG,4070,3052921,11754,5434431
IN,INDIA,0,0,775,147189
ID,INDONESIA,17500,1858786,94310,10089862
IT,ITALY,0,0,242800,16851215
JP,JAPAN,1316482,94385381,12668211,950037908
KR,"KOREA,REPUBLIC OF",931325,48999737,10921540,596597775
MY,MALAYSIA,80835,4019223,1198534,58538790
NL,NETHERLANDS,99350,6464767,1346475,95586631
SA,SAUDI ARABIA,337750,15415887,2877600,131026752
SG,SINGAPORE,5460000,272020485,44870280,2295095152
CH,SWITZERLAND,2,9011,5,21784
TW,"TAIWAN, PROVINCE OF CHINA",336205,18651384,3053155,172717704
TR,TÜRKIYE,0,0,675,155322
AE,UNITED ARAB EMIRATES,99000,4342412,2376000,100990723
GB,UNITED KINGDOM,0,0,35031,4818714
US,UNITED STATES,80825,6929400,807683,63073737
VN,VIETNAM,0,0,23021,2192389
SUM,SUM,8901221,488466412,81438628,4589533562
