"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2012', 'Quantity')","('May 2012', 'CIF (Baht)')","('Jan - May 2012', 'Quantity')","('Jan - May 2012', 'CIF (Baht)')"
BE,BELGIUM,20000,1895000,20000,1895000
CN,CHINA,7000,625131,32000,2822115
IT,ITALY,2750,380386,2750,380386
JP,JAPAN,1500,244077,83922,12116667
KR,"KOREA,REPUBLIC OF",83462,6630675,203493,16780420
MY,MALAYSIA,5000,478619,6000,574421
SG,SINGAPORE,0,0,8,13902
ES,SPAIN,11493,1023198,11493,1023198
US,UNITED STATES,0,0,3000,388509
VN,VIETNAM,600,63257,600,63257
SUM,SUM,131805,11340343,363266,36057875
