"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2021', 'Quantity')","('Apr 2021', 'CIF (Baht)')","('Jan - Apr 2021', 'Quantity')","('Jan - Apr 2021', 'CIF (Baht)')"
AT,AUSTRIA,150,158699,760,1086986
BE,BELGIUM,0,0,36400,2707931
BR,BRAZIL,382,135456,4011,1449220
CA,CANADA,0,0,1,16317
CN,CHINA,182388,10027603,1206663,63829021
CZ,CZECH REPUBLIC,0,0,2,682
FR,FRANCE,8002,597426,88477,4718556
DE,GERMANY,165,119291,20843,5384263
HK,HONG KONG,0,0,214252,18082071
IN,INDIA,75,31308,255,52992
ID,INDONESIA,0,0,22526,1972745
IT,ITALY,2,14323,762,113543
JP,JAPAN,189971,28193504,886408,139328583
KR,"KOREA,REPUBLIC OF",355100,20081088,1539250,79800730
MY,MALAYSIA,98500,8365916,385671,28915787
NL,NETHERLANDS,4086,597877,174554,15380317
SA,SAUDI ARABIA,221250,9835430,715500,27922500
SG,SINGAPORE,78744,9460621,259770,31459649
ZA,SOUTH AFRICA,0,0,0,185
CH,SWITZERLAND,430,345559,430,345559
TW,"TAIWAN, PROVINCE OF CHINA",135,15742,2443,226574
TH,THAILAND,25,5440,25,5440
AE,UNITED ARAB EMIRATES,321750,14444478,2128500,86601172
GB,UNITED KINGDOM,5200,541178,5200,541178
US,UNITED STATES,119439,19467499,541980,82776527
VN,VIETNAM,6001,506728,32151,2324385
SUM,SUM,1591795,122945166,8266834,595042913
