"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2022', 'Quantity')","('May 2022', 'CIF (Baht)')","('Jan - May 2022', 'Quantity')","('Jan - May 2022', 'CIF (Baht)')"
BD,BANGLADESH,0,0,12,1145
BE,BELGIUM,23375,2203272,315225,25615036
BR,BRAZIL,0,0,50,38580
CA,CANADA,25,16421,25,16421
CN,CHINA,102951,3514072,1276950,58393467
DE,GERMANY,10000,1301468,10005,1302281
HK,HONG KONG,0,0,42,7706
IN,INDIA,40,25211,45,25972
IT,ITALY,1,603,57301,7579286
JP,JAPAN,522330,51947219,2015679,205498424
KR,"KOREA,REPUBLIC OF",580600,65593150,4275978,449116115
MY,MALAYSIA,5440,736306,262092,14318402
NL,NETHERLANDS,0,0,73250,7513841
QA,QATAR,0,0,17000,961649
SA,SAUDI ARABIA,49500,4633494,618750,60986059
ES,SPAIN,0,0,50,28596
SE,SWEDEN,0,0,46200,2525812
TW,"TAIWAN, PROVINCE OF CHINA",430550,40056772,4571725,424226779
GB,UNITED KINGDOM,15000,2344182,105500,15816341
US,UNITED STATES,28487,1912595,245261,23605116
VN,VIETNAM,19700,678028,103625,3821871
SUM,SUM,1787999,174962793,13994765,1301398899
