"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2018', 'Quantity')","('Oct 2018', 'CIF (Baht)')","('Jan - Oct 2018', 'Quantity')","('Jan - Oct 2018', 'CIF (Baht)')"
BE,BELGIUM,24000,2609652,204000,20959487
DE,GERMANY,0,0,74250,3936201
ID,INDONESIA,0,0,50,18980
JP,JAPAN,7106,799358,33656,3272218
KR,"KOREA,REPUBLIC OF",52000,4217302,1644900,91043695
SG,SINGAPORE,930000,42434935,9221010,426701616
AE,UNITED ARAB EMIRATES,112400,5788147,415050,21266890
GB,UNITED KINGDOM,1100,212551,3050,532632
US,UNITED STATES,198761,14382177,833330,54332182
SUM,SUM,1325367,70444122,12429296,622063901
