"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2019', 'Quantity')","('May 2019', 'CIF (Baht)')","('Jan - May 2019', 'Quantity')","('Jan - May 2019', 'CIF (Baht)')"
CN,CHINA,6,3092,25738,1035126
FR,FRANCE,1130,247999,4130,861531
HK,HONG KONG,0,0,24,12784
IN,INDIA,0,0,18,1954
IL,ISRAEL,24000,1643633,48000,3331368
JP,JAPAN,19700,2845825,134404,15964935
KR,"KOREA,REPUBLIC OF",21000,1063701,571000,41553794
MY,MALAYSIA,0,0,2,323
PA,PANAMA,0,0,2,11466
QA,QATAR,17000,582120,68000,2294702
TW,"TAIWAN, PROVINCE OF CHINA",0,0,354,159625
GB,UNITED KINGDOM,1000,269131,1007,273471
US,UNITED STATES,0,0,19,34302
SUM,SUM,83836,6655501,852698,65535381
