"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2019', 'Quantity')","('Jan 2019', 'CIF (Baht)')","('Jan - Jan 2019', 'Quantity')","('Jan - Jan 2019', 'CIF (Baht)')"
CN,CHINA,8,2334,8,2334
FR,FRANCE,1500,314187,1500,314187
IN,INDIA,18,1954,18,1954
IL,ISRAEL,24000,1687735,24000,1687735
JP,JAPAN,20894,2106700,20894,2106700
KR,"KOREA,REPUBLIC OF",208000,15366220,208000,15366220
TW,"TAIWAN, PROVINCE OF CHINA",4,11453,4,11453
GB,UNITED KINGDOM,7,4340,7,4340
US,UNITED STATES,2,1619,2,1619
SUM,SUM,254433,19496542,254433,19496542
