"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'CIF (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'CIF (Baht)')"
BE,BELGIUM,815020,46740827,815020,46740827
BR,BRAZIL,444125,39161931,444125,39161931
CN,CHINA,168750,10928408,168750,10928408
FR,FRANCE,24750,1882830,24750,1882830
DE,GERMANY,29812,5986275,29812,5986275
IN,INDIA,50,1750,50,1750
ID,INDONESIA,0,140,0,140
IT,ITALY,208140,16266331,208140,16266331
JP,JAPAN,701703,50938153,701703,50938153
KR,"KOREA,REPUBLIC OF",1871750,70628903,1871750,70628903
KW,KUWAIT,247500,8558159,247500,8558159
MY,MALAYSIA,1491750,50940199,1491750,50940199
MX,MEXICO,167,374868,167,374868
OM,OMAN,594000,19264518,594000,19264518
PT,PORTUGAL,50,2259,50,2259
QA,QATAR,943500,35670479,943500,35670479
SA,SAUDI ARABIA,1456500,55047894,1456500,55047894
SG,SINGAPORE,725010,28157719,725010,28157719
ES,SPAIN,30,18723,30,18723
TW,"TAIWAN, PROVINCE OF CHINA",192000,9439628,192000,9439628
AE,UNITED ARAB EMIRATES,420750,15381009,420750,15381009
GB,UNITED KINGDOM,1,3148,1,3148
US,UNITED STATES,1522681,69294845,1522681,69294845
SUM,SUM,11858039,534688996,11858039,534688996
