"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2023', 'Quantity')","('Feb 2023', 'CIF (Baht)')","('Jan - Feb 2023', 'Quantity')","('Jan - Feb 2023', 'CIF (Baht)')"
BE,BELGIUM,49500,2290635,74875,3562824
BR,BRAZIL,200,46275,550,151550
CA,CANADA,204060,6669435,731370,26768240
CN,CHINA,0,0,2376,25435
ID,INDONESIA,44750,3679270,99750,8475215
JP,JAPAN,47800,4285389,99800,10256945
KR,"KOREA,REPUBLIC OF",36000,1642779,36000,1642779
KW,KUWAIT,0,0,99000,3101033
MY,MALAYSIA,572504,17140711,971351,31531274
NL,NETHERLANDS,60000,2672085,180000,8263477
OM,OMAN,0,0,198000,6785731
QA,QATAR,153000,4804384,433500,14362622
SA,SAUDI ARABIA,3371250,115261847,7195950,256333925
SG,SINGAPORE,781625,31113304,917625,36443560
SE,SWEDEN,3750,337572,7224,691395
TW,"TAIWAN, PROVINCE OF CHINA",100,34204,2120,1855718
AE,UNITED ARAB EMIRATES,173250,6209258,544500,18734660
US,UNITED STATES,132052,7371769,280802,13082928
VN,VIETNAM,165000,5595835,165262,5645939
SUM,SUM,5794841,209154752,12040055,447715250
