"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2012', 'Quantity')","('Aug 2012', 'CIF (Baht)')","('Jan - Aug 2012', 'Quantity')","('Jan - Aug 2012', 'CIF (Baht)')"
AU,AUSTRALIA,16250,929779,48750,2632304
BE,BELGIUM,2500,498841,61025,11969597
BR,BRAZIL,0,0,2724,1003048
CA,CANADA,0,0,8000,1317760
CN,CHINA,39450,4506332,380630,34742619
FR,FRANCE,50,16574,14175,1775473
DE,GERMANY,25000,2181143,193523,14783083
HK,HONG KONG,0,0,5644,647232
IN,INDIA,0,0,775,147189
ID,INDONESIA,10775,1148903,65510,6991074
IT,ITALY,0,0,242800,16851215
JP,JAPAN,1622355,120640128,10050405,761938750
KR,"KOREA,REPUBLIC OF",882890,44598691,9085615,499143722
MY,MALAYSIA,105525,4944778,999199,48772912
NL,NETHERLANDS,148650,10568240,1087625,78143222
SA,SAUDI ARABIA,272250,12338453,2366600,107806517
SG,SINGAPORE,5293050,264689328,34342480,1768844757
CH,SWITZERLAND,0,0,3,12773
TW,"TAIWAN, PROVINCE OF CHINA",417000,23464127,2368300,134044855
TR,TÜRKIYE,0,0,275,71143
AE,UNITED ARAB EMIRATES,594000,24046594,2277000,96648311
GB,UNITED KINGDOM,1200,405059,19631,2969391
US,UNITED STATES,183500,10474858,698358,52952619
VN,VIETNAM,11000,1050527,11000,1050527
SUM,SUM,9625445,526502355,64330047,3645260093
