"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2019', 'Quantity')","('Feb 2019', 'CIF (Baht)')","('Jan - Feb 2019', 'Quantity')","('Jan - Feb 2019', 'CIF (Baht)')"
AU,AUSTRALIA,10,2693,10,2693
AT,AUSTRIA,1000,300501,1040,342281
CN,CHINA,792220,41294260,2710588,125379604
CZ,CZECH REPUBLIC,2,1278,202,28715
FI,FINLAND,0,0,46750,2792314
FR,FRANCE,360,88413,360,88413
DE,GERMANY,1175,142967,1175,142967
IN,INDIA,0,304,3294,352608
ID,INDONESIA,28040,1906595,61540,5412377
IT,ITALY,5075,458939,15075,1399288
JP,JAPAN,1180004,64891677,1960371,121767330
KR,"KOREA,REPUBLIC OF",1559515,78346877,3431698,172857158
MY,MALAYSIA,19182,1748261,118450,9145159
NL,NETHERLANDS,0,0,49500,4521988
OM,OMAN,247500,8367680,247500,8367680
SA,SAUDI ARABIA,2219390,78385555,4978255,181009259
SG,SINGAPORE,452223,24855495,926275,54307153
ZA,SOUTH AFRICA,49500,1878781,198000,7946640
ES,SPAIN,11000,907475,11000,907475
TW,"TAIWAN, PROVINCE OF CHINA",274625,13198558,540462,25618607
TH,THAILAND,0,0,24830,280764
AE,UNITED ARAB EMIRATES,202625,7203689,499625,18735502
US,UNITED STATES,3009,309831,24950,2473623
VN,VIETNAM,4150,466626,8994,1279712
SUM,SUM,7050605,324756455,15859944,745159310
