"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2019', 'Quantity')","('Feb 2019', 'CIF (Baht)')","('Jan - Feb 2019', 'Quantity')","('Jan - Feb 2019', 'CIF (Baht)')"
AU,AUSTRALIA,14848,919700,14848,919700
BE,BELGIUM,78000,3187623,350250,14284479
BR,BRAZIL,300,28706,300,28706
CA,CANADA,50,46762,50,46762
CN,CHINA,160000,8722096,292000,17803910
FR,FRANCE,0,0,22000,1735056
ID,INDONESIA,97925,5529891,141675,9019719
IL,ISRAEL,0,0,3600,437707
JP,JAPAN,902930,43788190,977250,51874650
KR,"KOREA,REPUBLIC OF",50600,2006827,107450,3957748
KW,KUWAIT,272250,8770275,346500,11234596
MY,MALAYSIA,191500,6784644,267000,9542345
NL,NETHERLANDS,0,0,20000,896295
QA,QATAR,153000,4879950,357000,12220417
SA,SAUDI ARABIA,2493450,84382997,5450850,188667113
SG,SINGAPORE,595250,21843430,1520750,57231441
ES,SPAIN,0,0,74250,2879108
TW,"TAIWAN, PROVINCE OF CHINA",0,0,10,2432
AE,UNITED ARAB EMIRATES,814000,28299324,1841750,66195738
US,UNITED STATES,285725,11494586,794050,30629816
VN,VIETNAM,0,0,50,1338
SUM,SUM,6109828,230685001,12581633,479609076
