"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2015', 'Quantity')","('Oct 2015', 'CIF (Baht)')","('Jan - Oct 2015', 'Quantity')","('Jan - Oct 2015', 'CIF (Baht)')"
AU,AUSTRALIA,37264,3775066,134431,12383506
AT,AUSTRIA,0,0,225,21667
BD,BANGLADESH,20,5953,20,5953
BE,BELGIUM,370340,21436431,1538036,87348356
BR,BRAZIL,0,0,180,37834
CN,CHINA,494788,33077154,6331882,397985685
FI,FINLAND,46750,3649590,239250,16640179
FR,FRANCE,27750,1868099,264189,15329285
DE,GERMANY,670,253181,123913,30618413
HU,HUNGARY,0,0,36,17129
IN,INDIA,48500,1780562,148872,6265127
ID,INDONESIA,49285,5918599,234414,27225299
IL,ISRAEL,12000,1050506,62406,5592690
IT,ITALY,25750,1564276,277035,18080086
JP,JAPAN,1485476,99101051,13012176,878379430
KP,KOREA DPR,0,0,78200,4231464
KR,"KOREA,REPUBLIC OF",1546525,82661026,16999650,923753064
KW,KUWAIT,0,0,24750,1122962
LU,LUXEMBOURG,9625,696724,9625,696724
MY,MALAYSIA,107367,15350337,1287703,130691030
MA,MOROCCO,0,0,130,70395
NL,NETHERLANDS,186500,12961218,1076650,82074209
NZ,NEW ZEALAND,0,0,338,329480
PH,PHILIPPINES,0,0,96005,4431546
RU,RUSSIAN FEDERATION,0,0,198000,8259404
SA,SAUDI ARABIA,3235550,125341419,30447995,1193775224
SG,SINGAPORE,2555289,131354317,16145455,908368254
SK,SLOVAKIA,0,0,26250,1604176
ZA,SOUTH AFRICA,0,0,99000,4090663
ES,SPAIN,0,0,56375,2752814
CH,SWITZERLAND,0,0,2,740
TW,"TAIWAN, PROVINCE OF CHINA",94922,4286107,1504147,63072545
TH,THAILAND,72000,2925810,679910,31309777
TR,TÜRKIYE,0,0,1221,171914
AE,UNITED ARAB EMIRATES,372675,13100244,2665975,101605116
GB,UNITED KINGDOM,0,0,20153,2494957
US,UNITED STATES,58006,4134920,2970454,155110763
VN,VIETNAM,81803,3332133,136473,10257185
SUM,SUM,10918855,569624723,96891526,5126205045
